,MDVP:Fo(Hz),MDVP:Fhi(Hz),MDVP:Flo(Hz),MDVP:Jitter(%),MDVP:Jitter(Abs),MDVP:RAP,MDVP:PPQ,Jitter:DDP,MDVP:Shimmer,MDVP:Shimmer(dB),Shimmer:APQ3,Shimmer:APQ5,MDVP:APQ,Shimmer:DDA,NHR,HNR,RPDE,DFA,spread1,spread2,D2,PPE,jitter_stability_ratio,shimmer_composite,voice_quality_index,frequency_range,frequency_cv
21,0.007105458665005679,0.0232960205039897,0.0,0.0,0.0,0.03533349798577373,0.0,0.03318063672295437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020577640534988104,0.0,0.0,0.015548909961487412,0.005066007282408774,0.0,0.0049659607085739575,0.0,0.0,0.018600106531368173,0.004819378669352849,0.0
22,0.011883721795834891,0.010750141286666896,0.0,0.0,0.0,0.03704236414830625,0.0,0.03550942892981444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009256012080752364,0.0,0.0,0.038647651771764394,0.053930218062328825,0.028582009969276203,0.0181919513899949,0.0,0.0,0.007057408016085981,0.0,0.0
23,-0.020679387307963884,0.0,0.0,0.0,0.0,-0.056008737643274985,0.0,-0.05792866235346397,0.0,0.0,0.0,-0.010164059289500427,0.0,0.0,-0.011273976212035757,-0.045208215836095564,0.0,0.0,0.0,0.0,-0.20087741265182724,0.0,-0.018999761999917927,0.0,-0.0445081405022657,0.0,-0.0432477851668487
24,-0.0361824181320774,-0.02975554780438977,0.0,0.0,0.0,-0.017543332156760662,0.0,-0.004229618186274875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016067294482861077,-0.009149287019865344,-0.184821194014236,0.0,-0.006326879798275398,-0.06147296879377918,0.0,0.0,-0.011052459268690387,0.0
25,0.0,0.0,-0.04805745069996241,0.09994446420839248,0.08137461400126077,-0.04503896604875464,0.0,-0.04557512298447863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05338954345297195,0.08222853905952122,0.0,-0.07863963200648294,0.0,0.09275721747055922,0.0,0.0,0.0,-0.05100844811096136,0.0,0.0
26,0.01859537839701067,0.026029941750578,0.029450001093165194,0.0,0.0,0.0,0.0,0.0,0.0188614008104929,0.0,0.01960464522034018,0.03225707229843468,0.0,0.02016699280558482,0.0,0.01834577722031915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021473680638221877,0.017218757610353408,0.0,0.0
27,0.009083786914919262,0.013774172626907886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023977808233936807,0.0,0.010420157726180197,0.015290843047100497,0.048961024644608005,0.07685555206734539,0.0,0.014174631784694337,0.0,0.022400941535605776,0.013409633744890445,0.0
28,-0.05601605858686825,-0.03327081539447635,0.0,0.0,0.0,-0.024887616810167185,0.0,-0.024371890328321766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021147062935026537,-0.015558082608339185,-0.24232784485921502,-0.025851210220547965,0.0,-0.02179741048894893,0.0,0.0,-0.020985208145023512,0.0
29,0.0,0.013207448453577422,0.003943071941433757,0.0,0.0,0.03982487978151756,0.0,0.03641188609690492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010454709912101233,0.0,0.038420963571664475,0.03683821158552401,0.008039586525105816,0.0,0.01742452991133782,0.0,0.0,0.006945696030129554,0.0,0.0
30,0.0,0.0,0.0,-0.06930198633022291,0.0,0.06916178073271674,0.0,0.0670900732911107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01314811270632564,0.04741248854720285,0.010637836434029796,0.02649941172285188,0.02727973108385517,0.00921709519590646,0.0,0.0,0.01851525322191009,0.0
31,0.0304870896617493,0.0,0.01640833555676914,-0.030091081315058686,-0.05026587592440202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03337469838278113,-0.06553191233267165,0.022553847270959035,0.0,-0.033712424485003493,0.018847118026499562,0.0,0.0,0.0,0.0,0.07222747744842434
32,0.0,0.012376001498631162,0.024639424348372185,-0.06840919054659111,0.0,0.07837072171334346,0.0,0.07970264789930488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020634056980566202,0.0,0.020966318272411143,0.017538443358759467,0.0,0.0,0.0,0.017880283093028488,0.0,0.018747444428708966,0.0,0.0
33,-0.06063019603736099,-0.048256840451113565,-0.0895808039080056,0.0,0.0,-0.031561847163364375,0.0,-0.027816961812624684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05619718557248263,-0.033621808059738106,-0.13365793800068385,0.0,-0.007523904187888952,-0.07942870608900404,0.0,0.0,0.0,0.0
34,0.0,0.0,-0.03571147235649391,-0.04062713590610389,0.0,0.03521732666382055,0.0,0.03711566477129697,0.0,0.0,0.0,0.0,0.0,0.0,0.015351780281530135,0.0,0.02951668559613626,0.0,0.0,0.0,0.08025824051530714,-0.015239404427258768,0.0,0.0,0.0,0.030105249855070085,-0.017732048694362162
35,0.0,-0.019958569796352417,0.02539863332520932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01328739314129016,0.0,0.0,-0.06472792639422081,0.0,-0.09202663419290841,0.06916202923355874,-0.016934426360842435,0.029298740011866244,0.0,0.0,-0.04053735938915148,0.01785853818817175
36,0.014318840923968472,0.025311806672446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014083489160675727,0.0,0.0,0.0,0.021340478706240628,0.0,0.0,0.04222049717144975,0.03864919287371858,0.03805311994508713,0.019254668779631515,0.0,0.0,0.020993805045618628,0.013340788820463623,0.0
37,0.011995626490433798,0.024188935837647838,0.0,0.02277030937932225,0.023353195651661468,0.0,0.0,-0.02467048920488807,0.0,0.0,0.0,0.0,0.0,0.0,0.004300492968513273,0.0,0.008370556689442272,0.0,0.0,0.0,0.07099517778949856,0.0,0.02488278611403907,0.0,0.0,0.013244343655644707,0.0
38,-0.09745991372185692,-0.05039379196851761,-0.07564753360412353,-0.012277181740822608,0.0,0.0,-0.008304824944221467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06891890261660755,-0.059711186933024026,-0.15380231930309865,0.0,-0.02910614551947514,-0.08316936304316477,0.0,0.0,0.0,0.0
